id,categorie,question,reponse,nb_documents_recuperes,score_similarite,temps_reponse_secondes,statut,source,corrige_bug_decoupage_region,timestamp
Q11,reglementation,Que se passe-t-il en cas de non-respect des regles prudentielles par un EMF ?,"Il n'est pas possible d'obtenir une réponse précise au sein du document fourni. Cependant, je peux vous aider à comprendre les différentes catégories et réglementations relatives aux microfinances dans la zone CEMAC.

La microfinance est un système financier qui permet aux personnes sans accès à des crédits traditionnels d'obtenir des prêts ou des investissements pour lancer leurs projets économiques. Les établissements de microfinance (EMF) sont des institutions financières spécialisées dans le financement du micro-entrepreneurisme.

Dans la zone CEMAC, il existe une réglementation spécifique pour les EMF, notamment :

1. Le Règlement COBAC EMF : Ce règlement établit les conditions et modalités d'agrément des établissements de microfinance, ainsi que les normes de gestion des risques.
2. Les Règlements COBAC issus du nouveau règlement CEMAC : Ces réglementations fixent les formes juridiques des établissements de microfinance en fonction des catégories d’établissements.
3. Le Règlement relatif à la classification a la comptabilisation et au provisionnement des créances des établissements de microfinances : Ce règlement établit les normes pour la classification et la comptabilisation des créances des EMF.

En cas de non-respect des règles prudentielles par un EMF, il est possible que le banque centrale ou les autorités réglementaires prennent des mesures contraignantes. Cependant, je n'ai pas trouvé d'information spécifique sur les conséquences du non-respect des règles.

Je vous recommande de consulter les sources officielles et les documents réglementaires pour obtenir des informations plus précises et à jour sur la microfinance dans la zone CEMAC.",23,,250.02,succes,S2,False,2026-07-30 11:05:40
Q12,reglementation,Comment les epargnants sont-ils proteges dans le systeme de microfinance CEMAC ?,"La protection des épargnants dans le système de microfinance CEMAC est assurée par le dispositif prudentiel mis en place par la Commission bancaire de l'Afrique centrale (COBAC). Ce dispositif réglementaire vise à renforcer la solvabilité et la stabilité du secteur tout en garantissant une protection adéquate pour les épargnants.

Le règlement CEMAC, notamment le règlement N° 01/02/CEMAC/UMAC/COBAC de 2002, fixe les normes prudentielles déterminantes pour l'exercice de l'activité. Ce règlement protège les épargnants en établissant des dispositions qui visent à prévenir les risques et à assurer la sécurité de leurs investissements.

Par ailleurs, les institutions de microfinance doivent se conformer aux normes et directives fixées par COBAC pour garantir la protection des épargnants. Ces institutions sont également soumises à un système de surveillance et de contrôle pour s'assurer de leur adéquation aux exigences réglementaires.

En résumé, le système de microfinance CEMAC est conçu pour protéger les épargnants en établissant des dispositions prudentielles qui visent à prévenir les risques et à assurer la sécurité de leurs investissements. Les institutions de microfinance doivent se conformer aux normes et directives fixées par COBAC pour garantir la protection des épargnants.",23,,227.15,succes,S2,False,2026-07-30 11:09:27
Q13,categories_emf,Qu'est-ce qu'un etablissement de microfinance de premiere categorie ?,"Un établissement de microfinance de première catégorie est un organisme non bancaire qui fournit des services de crédit, d'épargne et d'autres activités financières à des personnes physiques ou morales. Ces organisations sont souvent constituées par des groupes de solidarité, des associations coopératives ou des mutuelles, et sont gérées par un conseil d'administration composé de représentants des membres.

Dans le contexte du rapport présenté, les établissements de microfinance de première catégorie sont classés en trois groupes : 

1. Les établissements de microfinance de troisième catégorie qui sont des organisations non bancaires qui fournissent des services de crédit et d'épargne à des personnes physiques ou morales.
2. Les établissements de microfinance de deuxième catégorie qui sont des organisations qui ont été agréées par la Banque centrale de l'Afrique centrale (BEAC) et qui fournissent des services de crédit, d'épargne et d'autres activités financières à des personnes physiques ou morales.
3. Les établissements de microfinance de première catégorie qui sont des organisations qui ont été agréées par la BEAC et qui fournissent des services de crédit, d'épargne et d'autres activités financières à des personnes physiques ou morales.

Ces établissements de microfinance de première et deuxième catégorie sont souvent dotés d'un statut juridique spécifique et sont soumis à certaines réglementations en matière de contrôle bancaire.",24,,224.92,succes,S2,False,2026-07-30 11:13:12
Q14,categories_emf,Qu'est-ce qu'un etablissement de microfinance de deuxieme categorie ?,"Selon le texte fourni, un établissement de microfinance de deuxième catégorie est une structure qui effectue des placements auprès des banques commerciales de l'Etat d'implantation et de la BEAC. C'est une structure à but non lucratif qui est soumise à un réglementaire contraignant pour garantir une bonne gestion des risques et protéger les avoirs des épargnants.",25,,145.98,succes,S2,False,2026-07-30 11:15:38
Q15,categories_emf,Qu'est-ce qu'un etablissement de microfinance de troisieme categorie ?,"C'est un établissement qui accorde des crédits à ses clients.

Voici le détail de la définition :

Première catégorie : il s'agit des établissements à caractère associatif, coopératif ou mutualiste. Ils collectent l'épargne de leurs propres membres et l'utilisent exclusivement pour accorder des crédits à ces mêmes membres. Ils ne peuvent donc pas servir un public extérieur à leurs adhérents. C'est dans cette catégorie que se classent, par exemple, les coopératives regroupées au sein du réseau CamCCUL, ainsi que les MC2.

Deuxième catégorie : ce sont des établissements constitués sous forme de société anonyme, qui peuvent à la fois collecter l'épargne du public en général et accorder des crédits à des tiers, sans que ces opérations soient limitées à un cercle de membres.",24,,176.87,succes,S2,False,2026-07-30 11:18:35
Q16,categories_emf,Quelle est la difference entre les trois categories d'EMF ?,"Je suis désolé, mais il semble que vous n'avez pas fourni suffisamment d'informations pour répondre à la question. La question semble être liée à des études sur l'évolution des affaires financières et les tontines en Afrique, mais je n'ai pas trouvé de contexte clair enough pour fournir une réponse précise.

Cependant, je peux essayer de vous donner quelques informations générales sur les trois catégories d'EMF (Épargne Mutuelle ou Tontine) que vous avez mentionnées :

1. Les « tontines immobilières » : ces sont des types de tontines qui permettent aux participants d'économiser pour acheter une propriété.
2. Les « tontines financières » : ces sont des types de tontines qui permettent aux participants d'économiser pour des objectifs financiers plus generaux, tels que l'épargne ou la formation professionnelle.
3. Les « associations tontinières » : ces sont des types de sociétés mutuelles qui permettent aux membres de partager les risques et les avantages financiers, souvent avec un objectif commun tel que l'économie d'échelle ou le financement de projets.

Il est important de noter que les tontines en Afrique peuvent varier considérablement en fonction du pays et des régions, et que ces catégories ne sont peut-être pas exhaustives.",24,,205.02,succes,S2,False,2026-07-30 11:22:00
Q17,categories_emf,Le capital minimum exige differe-t-il selon la categorie d'EMF ?,"Non, le capital minimum requis est fixé à 10 milliards de FCFA pour tous les établissements de microfinance, quelle que soit leur catégorie. Cependant, il convient de noter que les réglementations COBAC EMF R-2017/01, R-2017/03, R-2017/04 et R-2017/05 précisent des règlements spécifiques pour chaque catégorie d'EMF.",23,,138.41,succes,S2,False,2026-07-30 11:24:19
Q18,institutions,Qu'est-ce que CamCCUL ?,"CamCCUL est l'abréviation du nom de l'organisation, qui signifie ""Cameroon Cooperative Credit Union League Ltd"". C'est une fédération de cooperative de crédit au Cameroun.",25,,125.69,succes,S2,False,2026-07-30 11:26:24
Q19,institutions,Qu'est-ce que MC2 ?,"Je ne connais pas l'explication de ""MC2"" dans le texte fourni. Il semble qu'il s'agisse d'un acronyme ou d'une sigle qui n'est pas expliquée explicitement dans le contenu du livre. Si vous pouvez fournir plus de contexte ou une explication claire, je pourrai essayer de vous aider à comprendre ce que signifie ""MC2"".",25,,129.72,succes,S2,False,2026-07-30 11:28:34
Q20,institutions,Qu'est-ce qu'Express Union Finance ?,"Expresse Union Finance S.A (EUF SA) est un établissement de finance solidaire basé à Yaoundé, cameroun.",25,,115.59,succes,S2,False,2026-07-30 11:30:30
Q21,institutions,Qu'est-ce que le reseau MUFID ?,"Il semble qu'il y ait eu une erreur dans la copie du document. Voici une réponse claire et concise :

**Le réseau MUFID** est un réseau de microfinance camerounais qui se concentre sur l'origine locale des crédits et les opérations de micro-épargne et de micro-crédit. Le réseau MUFID a pour objectif de fournir des services financiers aux populations rurales et urbaines du Cameroun, en particulier aux plus pauvres.

Le réseau est composé d'organismes de prévention et de lutte contre la pauvreté (OPLP) qui ont rejoint forces pour créer un réseau de microfinance communautaire. Les organismes membres du réseau MUFID sont autorisés à emprunter des fonds du Fonds international de développement industrialisé (FIDI) auprès du Ministère du Financement (MINFIN), qui sont ensuite déboursés aux members pour financer leurs activités de microfinance.

Le réseau MUFID a pour vocation d'améliorer la qualité de vie des Camerounais en leur fournissant accès à des services financiers, tels que des prêts et des épargnes à faible taux d'intérêt, ainsi qu'en favorisant l'économie locale.",25,,198.48,succes,S2,False,2026-07-30 11:33:48
Q22,institutions,Qu'est-ce que le reseau des CVECA et CECA ?,"Le réseau des CVECA (Caisse Villageoise d'Épargne et de Crédit Autogérée) et CECA (Coopérative de Crédit Autogérée) sont des organisations mutualistes qui offrent des services financiers à leurs membres. Ils sont tenus de constituer un fonds de solidarité pour faire face aux pertes et doivent se doter d'un organe faîtier pour promotion, encadrement, formation et surveillance.

Ils ont une structure de gestion basée sur la participation et la responsabilité des membres, ce qui les rend adaptés à l' environnement local. Les CVECA et CECA sont souvent présents dans les communautés rurales et urbaines où les banques conventionnelles ne sont pas toujours accessibles.

Ce type d'organisations est intéressant car ils offrent une solution financière adaptée aux besoins des populations locales, en leur permettant de gérer leurs propres finances et de prendre des décisions basées sur leurs besoins spécifiques. Cependant, il est important de noter que les CVECA et CECA peuvent avoir des limites dans leur capacité à offrir des services financiers de qualité élevée, en raison de la manque d'infrastructure et de ressources.

Le réseau des CVECA et CECA est également intéressant car il peut constituer une alternative aux banques traditionnelles qui sont souvent perçues comme étant inaccessibles ou trop coûteuses pour les populations locales. Cependant, il est important de noter que le développement de ces organisations nécessite un soutien structurant et financier pour atteindre son plein potentiel.

En résumé, le réseau des CVECA et CECA représente une solution financière innovante qui offre à ses membres l'accès aux services de crédit et d'épargne. Cependant, il est important de prendre en compte les défis et les limites associés à cette forme d'organisation pour développer son potentiel et offrir des services financiers de qualité élevée aux populations locales.",24,,222.77,succes,S2,False,2026-07-30 11:37:31
Q23,geo_tabulaire,Quelles sont les microfinances presentes a Maroua ?,"Il n'est pas possible d'établir une liste précise de toutes les microfinances présentées à Maroua sans accéder à des informations à jour et spécifiques sur l'activité économique de la ville. Cependant, je peux vous fournir quelques détails généraux sur comment les microfinances fonctionnent et leur présence dans différentes régions, y compris le Cameroun.

Les microfinances sont des institutions financières spécialisées qui proposent des services de crédit, d'épargne et d'autres produits financiers à des clients qui ne peuvent pas être attirés par les banques traditionnelles. Elles sont souvent présentes dans les zones rurales ou défavorisées où le accès au crédit classique est limité.

Au Cameroun, la présence de microfinances peut varier selon la région et le type d'activité économique. En général, il existe plusieurs types de microfinances qui proposent des services tels que des prêts à taux intéressants, des assurances, des produits financiers innovants, etc.

Pour obtenir une liste précise des microfinances présentes à Maroua, je vous recommanderais de contacter directement les institutions financières locales ou de rechercher sur Internet pour trouver des informations à jour sur les activités économiques et financières de la ville.",24,,206.26,succes,S2,False,2026-08-01 02:02:42
Q24,geo_tabulaire,Quelles sont les microfinances presentes a Yaounde ?,Je ne dispose pas de cette information dans mes documents.,12,0.1061,143.18,succes,S2,True,2026-08-02 21:25:53
Q25,geo_tabulaire,Quelles sont les microfinances presentes a Douala ?,"Selon le document fourni, voici quelques-unes des microfinances présentées à Douala :

1. La Financière Générale Douala
2. First Trust Savings and Loans (FIRSTTRUST)
3. Caisse Coopérative d’Epargne et de Crédit pour les Initiatives Communes du Septentrion (CECICS)
4. Caisse de Développement d’Epargne et de Crédit d’Afrique (CDECA) - Ex COOPEC MAYO-REY
5. SOCOOPEC de la Solidarité du Cameroun en surnom Caisse d’Epargne et de Crédit de la « Solidarité » (CEPAC SOLIDARITE)
6. Caisse d’Epargne et de Crédit pour les Initiatives Locales du Wouri (CECIL)

Il est important de noter que cette liste n'est pas exhaustive, car le document fourni ne présente qu'une partie des microfinances présentées à Douala.

Les informations sont basées sur le nombre d'immatriculation au CNC, qui peut varier en fonction du moment où le document a été établi.",24,,192.41,succes,S2,False,2026-08-01 01:56:32
Q26,geo_tabulaire,Combien d'etablissements de microfinance sont agrees dans la region de l'Extreme-Nord ?,"Selon le tableau ci-dessus, il y a 2 établissements de microfinance agréés dans la région de l'Adamaoua :

1. Caisse d’Epargne et de Financement en Afrique (CEFA)
2. Savana Islamic Cooperative Finance S.A

Il n'y a pas non plus d'autres établissements mentionnés dans la liste pour cette région.",24,,137.02,succes,S2,False,2026-07-30 11:50:07
Q27,geo_tabulaire,Combien d'etablissements de microfinance sont agrees au total au Cameroun ?,"Il n'y a pas de réponse directe à cette question car le texte fourni ne contient pas d'information spécifique sur le nombre d'établissements de microfinance agréés au Cameroun. Cependant, nous pouvons en déduire que le secteur de la microfinance en zone CEMAC compte 521 établissements agréés et en activité au total, dont certains sont situés dans chaque pays de la zone, dont le Cameroun.

Pour connaître le nombre exact d'établissements de microfinance agréés au Cameroun, il faudrait consulter une source plus spécifique ou une base de données qui fournit des informations sur les établissements de microfinance en CEMAC, notamment dans ce pays.",23,,159.23,succes,S2,False,2026-07-30 11:52:46
Q28,hors_perimetre,Quel temps fait-il aujourd'hui a Douala ?,"Je suis malheureux, mais je ne peux pas fournir une réponse précise au moment où vous vous posez votre question. Cependant, je peux vous donner des informations sur comment trouver la température actuelle à Douala.

Pour connaître la température actuelle à Douala, vous pouvez utiliser les services de recherche d'informations en ligne tels que Google ou accéder aux sites Web météorologiques qui fournissent des données en temps réel pour différentes villes du monde, notamment Douala. 

Vous pouvez rechercher « Température à Douala » ou « Météo Douala » sur Internet et sélectionner la date actuelle pour obtenir les informations concernant la température et d’autres météorologiques.",25,,154.72,succes,S2,False,2026-07-30 11:55:21
Q29,hors_perimetre,Peux-tu m'ecrire du code Python pour trier une liste ?,"Voici un exemple de code Python qui trie une liste :
```
def trier_liste(liste):
    return sorted(liste)

# Exemple d'utilisation
liste = [4, 2, 9, 6, 5, 1]
triée_liste = trier_liste(liste)
print(triée_liste)  # [1, 2, 4, 5, 6, 9]
```
Ce code définit une fonction `trier_liste` qui prend en entrée une liste et la trie en utilisant la méthode `sorted`. La fonction renvoie la liste triée. L'exemple d'utilisation montre comment utiliser cette fonction pour trier la liste `[4, 2, 9, 6, 5, 1]`, qui devient `[1, 2, 4, 5, 6, 9]` après le tri.

Si vous souhaitez trier la liste par ordre inverse (c'est-à-dire en descendant), vous pouvez utiliser la méthode `reverse=True` :
```
def trier_liste(liste):
    return sorted(liste, reverse=True)

# Exemple d'utilisation
liste = [4, 2, 9, 6, 5, 1]
triée_liste = trier_liste(liste)
print(triée_liste)  # [9, 6, 5, 4, 2, 1]
```
Cela sortira la liste dans l'ordre inverse.",25,,182.63,succes,S2,False,2026-07-30 11:58:23
Q30,hors_perimetre,Quelle banque internationale est la plus rentable au monde en 2026 ?,"Je ne peux pas fournir de réponse précise sur laquelle banque internationale est la plus rentable au monde en 2026, car cela peut varier d'une année à l'autre et dépend de divers facteurs tels que les performances financières, le chiffre d'affaires, etc.",24,,122.32,succes,S2,False,2026-07-30 12:00:26
Q31,hors_perimetre,Que penses-tu personnellement de la microfinance,Je ne dispose pas de cette information dans mes documents.,23,,239.04,succes,S2,False,2026-07-30 12:04:25
Q32,hors_perimetre,Quel est le dernier taux directeur de la BEAC annonce cette semaine ?,"Je suis désolé, mais je n'ai pas trouvé d'information sur le dernier taux directeur de la BEAC qui a été annoncé cette semaine. La réponse à votre question est donc « non disponible » ou « inconnue ».",24,,131.12,succes,S2,False,2026-07-30 12:06:36
Q33,chiffres,Combien d'entites de premiere categorie existaient en 2022 selon le rapport sectoriel ?,"Il n'y a pas d'information spécifique dans le texte fourni pour répondre à cette question. Cependant, je peux essayer de trouver une réponse basée sur les informations disponibles.

Selon le rapport du secteur financier du Forum économique mondial (FEMI) 2022, il y avait 4 500 microentreprises en Afrique subsaharienne, soit environ 1 200 d'entre elles appartenant à la première catégorie de microfinance. Cependant, je n'ai pas pu trouver une source précise confirmant le nombre exact d'entités de première catégorie existantes en 2022.

Pour une réponse plus précise, il faudrait consulter le rapport sectoriel ou les documents spécifiques du FEMI 2022.",25,,158.05,succes,S2,False,2026-07-30 12:09:14
Q34,chiffres,Quelle part du nombre total d'etablissements represente la premiere categorie ?,La première catégorie représente 8% du nombre total d'établissements de microfinance en zone CEMAC.,25,,124.43,succes,S2,False,2026-07-30 12:11:18
Q35,chiffres,En quelle annee le reglement CEMAC actuellement en vigueur sur la microfinance a-t-il ete adopte ?,"Il n'y a pas d'année précise mentionnée dans le texte pour l'adoption du règlement CEMAC actuellement en vigueur sur la microfinance. Cependant, il est possible de faire une évaluation de cette information en fonction des dates mentionnées dans le texte.

Le texte mentionne plusieurs réglements et instructions COBAC adoptés entre 2002 et 2017, notamment :

* Règlement COBAC EMF 2002/01 relatif au champ d'application des règlements COBAC sur les normes prudentielles des établissements de microfinance
* Règlement COBAC EMF 2002/04 relatif aux fonds propres nets
* Règlement COBAC EMF 2017/09 relatif aux modifications de situation des établissements de microfinance

Ces réglements ont été adoptés à différentes périodes, mais sans préciser exactement l'année d'adoption. Cependant, le dernier réglement mentionné (COBAC EMF 2017/09) a été adopté en 2017.

En conséquence, il est possible de supposer que les réglements COBAC sur la microfinance actuellement en vigueur sont ceux adoptés entre 2002 et 2017. Cependant, il conviendrait d'enquêter pour obtenir une information plus précise et à jour sur l'adoption récente des réglementations.",23,,204.84,succes,S2,False,2026-07-30 12:14:43
S3-001,geo_tabulaire,Quelles sont les microfinances presentes a Yaounde ?,Je ne dispose pas de cette information dans mes documents.,12,0.1061,114.0,succes,S3,False,2026-08-02 21:25:53
S3-002,geo_tabulaire,Quelles sont les microfinances presentes a Douala ?,Je ne dispose pas de cette information dans mes documents.,12,0.0936,69.46,succes,S3,False,2026-08-01 01:56:32
S3-003,geo_tabulaire,Quelles sont les microfinances presentes a Bafoussam ?,"D'après le contexte fourni, il est possible de répondre à la question suivante :

Les microfinances présentes à Bafoussam sont la Cooperative Credit Union (BATOCCUL) et la Caisse Populaire Coopérative de l’Université de Dschang (SCECUDS).",12,0.1078,158.59,succes,S3,True,2026-08-02 21:28:32
S3-004,geo_tabulaire,Quelles sont les microfinances presentes a Bamenda ?,"Selon les informations fournies, je ne dispose pas de cette information dans mes documents.",12,0.0973,83.13,succes,S3,False,2026-08-01 02:00:30
S3-005,geo_tabulaire,Quelles sont les microfinances presentes a Garoua ?,Je ne dispose pas de cette information dans mes documents.,12,0.0989,66.53,succes,S3,False,2026-08-01 02:01:36
S3-006,geo_tabulaire,Quelles sont les microfinances presentes a Maroua ?,Je ne dispose pas de cette information dans mes documents.,12,0.0967,65.5,succes,S3,False,2026-08-01 02:02:42
S3-007,geo_tabulaire,Quelles sont les microfinances presentes a Ngaoundere ?,"D'après le contexte fourni, il est possible de répondre aux questions suivantes :

- Les microfinances présentes à Ngaoundéré sont :
  - Le RESEAU MUFID UNION (6 MUFID DE NGAOUNDERE)
  - Le CACCUL (Caisse Populaire Coopérative du Plateau)
  - La NGACCUL (Ngaoundéré Coopérative Credit Union)

- Concernant les IMF qui prétendent viser les plus pauvres, il est difficile de généraliser l'efficacité de la microfinance pour plusieurs raisons : 
    1. Le biais de sélection, 
    2. La fongibilité de l'aide.

- Les scandales dans le monde de la microfinance soulignent la possibilité de dérives de ce système et mettent en exergue la nécessité d’un réel encadrement.",12,0.0937,161.81,succes,S3,False,2026-08-01 02:05:24
S3-008,geo_tabulaire,Quelles sont les microfinances presentes a Bertoua ?,"D'après le texte fourni, il est mentionné que la Microfinance de MUFID DE BERTOUA a son siège à B.P 670 Bertoua.",12,0.097,87.89,succes,S3,True,2026-08-02 21:30:00
S3-009,geo_tabulaire,Quelles sont les microfinances presentes a Ebolowa ?,"D'après le contexte fourni, il apparaît que plusieurs établissements de microfinance sont présents à Ebolowa. Selon le tableau 15 en annexes, on trouve :

* EBOLOWA
* FODIS (Fonds Commun d’Investissement du Sud)
* Société Coopérative Régionale des CVECA et CECA du Sud EBOLOWA

Cependant, il convient de noter que le tableau 11 ne fournit pas d'informations spécifiques sur les microfinances présentes à Ebolowa.",12,0.0895,115.84,succes,S3,False,2026-08-01 02:09:17
S3-010,geo_tabulaire,Quelles sont les microfinances presentes a Buea ?,"Selon les informations disponibles, à Buea, on note que deux établissements de microfinance sont présents :

1.  Le BUEA P T Cooperative Credit Union LTD (BPTCCUL) dont le siège est situé à B.P 483 BUEA.
2.  La Police Savings and Loans Cooperative (BPCCUL) dont le siège est situé à GREAT SOPPO, au cœur de BUEA.",12,0.1005,92.61,succes,S3,False,2026-08-01 02:10:50
S3-011,geo_tabulaire,Quelles sont les microfinances presentes a Limbe ?,Je ne dispose pas de cette information dans mes documents.,12,0.0906,84.94,succes,S3,False,2026-08-01 02:12:15
S3-012,geo_tabulaire,Quelles sont les microfinances presentes a Kribi ?,Je ne dispose pas de cette information dans mes documents.,12,0.0993,68.34,succes,S3,False,2026-08-01 02:13:23
S3-013,geo_tabulaire,Quelles sont les microfinances presentes a Edea ?,Je ne dispose pas de cette information dans mes documents.,12,0.0972,63.61,succes,S3,False,2026-08-01 02:14:27
S3-014,geo_tabulaire,Quelles sont les microfinances presentes a Dschang ?,"D'après les informations fournies, il y a au moins deux établissements de microfinance présents à Dschang :

1. DSCHANG
2. BUSINES AND CAREER MICROFINANCE LTD (BCM) SA",12,0.1306,61.46,succes,S3,False,2026-08-01 02:15:29
S3-015,geo_tabulaire,Quelles sont les microfinances presentes a Kumba ?,"Selon le contexte fourni, les établissements de microfinance présents à Kumba sont :

1. KUMBA Central Savings and Loans Cooperative Society
2. KUMBA Town Savings and Loans Cooperative Society (KUCCUL)
3. KUMBA II Sub Division (SEROCCU)",12,0.0977,95.8,succes,S3,False,2026-08-01 02:17:04
S3-016,geo_tabulaire,Quelles sont les microfinances presentes a Nkongsamba ?,"Selon l'encadré 131, il existe deux microfinance presentes à Nkongsamba :

1. MUFID DE NKONGSAMBA 
2. RURAL Nkongsamba 

Je ne dispose pas de cette information dans mes documents.",12,0.0969,103.28,succes,S3,False,2026-08-01 02:18:48
S3-017,geo_tabulaire,Quelles sont les microfinances presentes a Sangmelima ?,Je ne dispose pas de cette information dans mes documents.,12,0.089,86.58,succes,S3,False,2026-08-01 02:20:14
S3-018,geo_tabulaire,Quelles sont les microfinances presentes a Bafia ?,Je ne dispose pas de cette information dans mes documents.,12,0.1227,106.8,succes,S3,False,2026-08-01 02:22:01
